,genres,keywords,tagline,cast,director,title,release_date,index
0,Action Adventure Fantasy Science Fiction,culture clash future space war space colony society,Enter the World of Pandora.,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron,Avatar,2009-12-10,0
1,Adventure Fantasy Action,ocean drug abuse exotic island east india trading company love of one's life,"At the end of the world, the adventure begins.",Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Chow Yun-fat,Gore Verbinski,Pirates of the Caribbean: At World's End,2007-05-19,1
2,Action Adventure Crime,spy based on novel secret agent sequel mi6,A Plan No One Escapes,Daniel Craig Christoph Waltz L\u00e9a Seydoux Ralph Fiennes Monica Bellucci,Sam Mendes,Spectre,2015-10-26,2
3,Action Crime Drama Thriller,dc comics crime fighter terrorist secret identity burglar,The Legend Ends,Christian Bale Michael Caine Gary Oldman Anne Hathaway Tom Hardy,Christopher Nolan,The Dark Knight Rises,2012-07-16,3
4,Action Adventure Science Fiction,based on novel mars medallion space travel princess,"Lost in our world, found in another.",Taylor Kitsch Lynn Collins Samantha Morton Willem Dafoe Thomas Haden Church,Andrew Stanton,John Carter,2012-03-07,4
5,Fantasy Action Adventure,dual identity amnesia sandstorm love of one's life forgiveness,The battle within.,Tobey Maguire Kirsten Dunst James Franco Thomas Haden Church Topher Grace,Sam Raimi,Spider-Man 3,2007-05-01,5
6,Animation Family,hostage magic horse fairy tale musical,They're taking adventure to new lengths.,Zachary Levi Mandy Moore Donna Murphy Ron Perlman M.C. Gainey,Byron Howard,Tangled,2010-11-24,6
7,Action Adventure Science Fiction,marvel comic sequel superhero based on comic book vision,A New Age Has Come.,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Joss Whedon,Avengers: Age of Ultron,2015-04-22,7
8,Adventure Fantasy Family,witch magic broom school of witchcraft wizardry,Dark Secrets Revealed,Daniel Radcliffe Rupert Grint Emma Watson Tom Felton Michael Gambon,David Yates,Harry Potter and the Half-Blood Prince,2009-07-07,8
9,Action Adventure Fantasy,dc comics vigilante superhero based on comic book revenge,Justice or revenge,Ben Affleck Henry Cavill Gal Gadot Amy Adams Jesse Eisenberg,Zack Snyder,Batman v Superman: Dawn of Justice,2016-03-23,9
10,Adventure Fantasy Action Science Fiction,saving the world dc comics invulnerability sequel superhero,,Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey,Bryan Singer,Superman Returns,2006-06-28,10
11,Adventure Action Thriller Crime,killing undercover secret agent british secret service,"For love, for hate, for justice, for revenge.",Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini,Marc Forster,Quantum of Solace,2008-10-30,11
12,Adventure Fantasy Action,witch fortune teller bondage exotic island monster,Jack is back!,Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy,Gore Verbinski,Pirates of the Caribbean: Dead Man's Chest,2006-06-20,12
13,Action Adventure Western,texas horse survivor texas ranger partner,Never Take Off the Mask,Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale,Gore Verbinski,The Lone Ranger,2013-07-03,13
14,Action Adventure Fantasy Science Fiction,saving the world dc comics superhero based on comic book superhuman,You will believe that a man can fly.,Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane,Zack Snyder,Man of Steel,2013-06-12,14
15,Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being,Hope has a new face.,Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley,Andrew Adamson,The Chronicles of Narnia: Prince Caspian,2008-05-15,15
16,Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book,Some assembly required.,Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson,Joss Whedon,The Avengers,2012-04-25,16
17,Adventure Action Fantasy,sea captain mutiny sword prime minister,Live Forever Or Die Trying.,Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush,Rob Marshall,Pirates of the Caribbean: On Stranger Tides,2011-05-14,17
